,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
2,864691135155894884,864691136310417242,9404,2145,9470,0.040025868073652895,L2/3,L5,367.34825939427014
3,864691135591041291,864691136310417242,25900,2091,9470,0.1452643661732223,L2/3,L5,365.4723054897594
5,864691135582733933,864691136310417242,1364,3567,9470,-0.02013095966701392,L2/3,L5,237.05528523110377
8,864691135591291659,864691136310417242,3976,2557,9470,0.03002828984970939,L2/3,L5,218.53435061792914
10,864691135755884754,864691136310417242,9084,5503,9470,0.38166966668420893,L2/3,L5,263.6118324506698
11,864691135759091534,864691136310417242,32020,329,9470,0.3861317577335156,L2/3,L5,578.0193239676335
12,864691135082846711,864691136310417242,14384,4420,9470,0.13219140044802435,L2/3,L5,237.8056248283458
14,864691135122934055,864691136310417242,6484,8574,9470,0.025491985996288997,L2/3,L5,297.2186762368744
15,864691135234167385,864691136310417242,5356,3210,9470,0.04306325791252617,L2/3,L5,408.11109671754815
16,864691135275253989,864691136310417242,13236,3189,9470,-0.043313486671967605,L2/3,L5,363.6562358271888
18,864691135338381030,864691136310417242,5100,7267,9470,-0.024858756027514334,L2/3,L5,311.3449603767499
19,864691135385894741,864691136310417242,21388,7928,9470,0.11173143371312638,L2/3,L5,327.25167357249677
20,864691135387710593,864691136310417242,596,2389,9470,-0.12490561449072295,L2/3,L5,223.31582500127482
21,864691135404231406,864691136310417242,2500,3048,9470,0.015528866612724282,L2/3,L5,379.11333228996307
22,864691135838305171,864691136310417242,1884,11261,9470,-0.1471658971765139,L2/3,L5,341.28653345832436
25,864691135867716374,864691136310417242,756,5151,9470,0.11528232261801705,L2/3,L5,390.55662300875144
27,864691135889695113,864691136310417242,13164,11126,9470,0.20267301146085073,L2/3,L5,340.0229452022319
28,864691135916149862,864691136310417242,8460,235,9470,0.06631063275005601,L2/3,L5,276.1465490351093
29,864691135511115984,864691136310417242,14896,11917,9470,0.3370793540010411,L2/3,L5,319.8537202659991
30,864691136228145489,864691136310417242,35736,11827,9470,0.15618144046217927,L2/3,L5,321.06553638782225
31,864691136310740570,864691136310417242,20148,8689,9470,-0.21131404537097548,L2/3,L5,289.429617171429
32,864691136388893815,864691136310417242,9540,11479,9470,0.17056978162879205,L2/3,L5,330.36416270533937
33,864691136101005173,864691136310417242,11968,3121,9470,0.259580492770842,L2/3,L5,379.21627247785653
34,864691136923990500,864691136310417242,4800,372,9470,-0.1790155277585339,L2/3,L5,285.9088064960573
57,864691135155894884,864691135786340548,584,2145,1653,-0.016075155849139017,L2/3,L5,364.4737608772407
61,864691136923990500,864691135926527246,41956,372,1682,0.16129261179442417,L2/3,L5,252.4719613422449
62,864691136209328060,864691135926527246,2224,5517,1682,0.06710945266340067,L2/3,L5,225.85513176370384
63,864691135468597132,864691135926527246,14600,4055,1682,0.17357770481924983,L2/3,L5,331.0378765519136
97,864691135155894884,864691135477010344,4992,2145,892,0.09967266346661653,L2/3,L5,365.770334149723
99,864691135275253989,864691135477010344,61244,3189,892,0.03797019284634492,L2/3,L5,356.58531586143584
100,864691135385894741,864691135477010344,28044,7928,892,0.11603703998178057,L2/3,L5,319.09642600317534
101,864691136388893815,864691135477010344,5272,11479,892,0.033903118823611564,L2/3,L5,322.75659415726886
102,864691136101005173,864691135477010344,23456,3121,892,0.047277261724215355,L2/3,L5,376.62457334592483
103,864691135135756569,864691135477010344,22700,2406,892,0.0009275908567622108,L2/3,L5,225.18769941539873
104,864691135334986985,864691135477010344,21052,2084,892,-0.10246281995277179,L2/3,L5,355.5946492285844
105,864691135396980769,864691135477010344,2696,429,892,0.17334102521912237,L2/3,L5,281.1909858014655
107,864691135889087881,864691135477010344,71116,6422,892,0.023853953733541503,L2/3,L5,267.4760006879122
108,864691136923942884,864691135477010344,2580,11848,892,0.02619552905108698,L2/3,L5,317.99340964240116
109,864691136009055404,864691135477010344,8900,5428,892,0.12517504612230582,L2/3,L5,250.4342673038176
110,864691135572327205,864691135477010344,23852,4228,892,0.016503346114524205,L2/3,L5,397.3047525112177
111,864691135988078595,864691135477010344,16072,7336,892,-0.20267316329228632,L2/3,L5,305.91553647371353
112,864691136041818198,864691135477010344,31416,10882,892,0.14673769650766813,L2/3,L5,354.52701371827783
113,864691136371364744,864691135477010344,1544,4208,892,-0.09736932473752813,L2/3,L5,373.7215901496727
114,864691135013978774,864691135477010344,9528,11791,892,0.13509177456889893,L2/3,L5,322.2204661408086
119,864691135497743635,864691135477010344,8932,3625,892,0.12511436276762072,L2/3,L5,650.3529473262961
120,864691135272898833,864691135477010344,8596,3153,892,0.12372793853321232,L2/3,L5,363.40649856599975
149,864691136309871706,864691135479049414,3492,2232,2675,0.05734836217814228,L2/3,L5,518.7270198167818
151,864691135155894884,864691135502350914,6108,2145,1767,0.05303533820871403,L2/3,L5,357.11699532786173
152,864691135582733933,864691135502350914,25564,3567,1767,0.04918886652053025,L2/3,L5,201.56414300167575
153,864691135591291659,864691135502350914,3116,2557,1767,-0.016950279248974586,L2/3,L5,207.32775567202768
154,864691135759091534,864691135502350914,29548,329,1767,-0.16758532489908615,L2/3,L5,433.52635367183854
157,864691135292991414,864691135502350914,10624,4056,1767,-0.015656346640276673,L2/3,L5,347.205929626785
158,864691135100604448,864691135502350914,19060,11258,1767,0.3119437789340987,L2/3,L5,300.3463647457715
159,864691135697111962,864691135502350914,19896,1199,1767,0.4446721452275057,L2/3,L5,292.25392849369877
160,864691135910761897,864691135502350914,8788,7249,1767,0.14309068893565477,L2/3,L5,279.0329569065274
161,864691135565696599,864691135502350914,5452,223,1767,-0.19376356699835187,L2/3,L5,242.8097078784125
163,864691135874156430,864691135502350914,24100,7237,1767,0.1465195904500007,L2/3,L5,265.98005398901626
164,864691135213783424,864691135502350914,1572,3542,1767,-0.2959911286773753,L2/3,L5,231.68315923260366
165,864691135397503777,864691135502350914,7384,5154,1767,-0.1331200689137575,L2/3,L5,350.774884847818
166,864691135884521840,864691135502350914,4764,10931,1767,-0.0085543267434608,L2/3,L5,305.5749355166421
168,864691135582733933,864691136274035469,4616,3567,9492,-0.01328526762088466,L2/3,L5,251.00243657781488
170,864691135082846711,864691136274035469,5172,4420,9492,0.079635305330558,L2/3,L5,248.88167315413156
171,864691136923990500,864691136274035469,5056,372,9492,-0.06614344542646686,L2/3,L5,288.7869714512758
172,864691135100604448,864691136274035469,46600,11258,9492,0.006326140897676885,L2/3,L5,334.39136180230497
173,864691135851626695,864691136274035469,4548,11184,9492,-0.03905643053159166,L2/3,L5,348.2855747802369
174,864691135919483824,864691136274035469,11796,3472,9492,0.13372520389067544,L2/3,L5,242.60181222736153
175,864691134941194851,864691136274035469,46496,8762,9492,-0.018487794855898743,L2/3,L5,289.8306564323381
176,864691135473091634,864691136274035469,8868,11597,9492,-0.04673246053266418,L2/3,L5,326.62307083241996
177,864691135491208679,864691136274035469,3024,1078,9492,-0.0049034192453268925,L2/3,L5,340.28833110760644
178,864691136117180068,864691136274035469,42708,10796,9492,0.03720733861788603,L2/3,L5,356.9265505618768
180,864691136009620908,864691136274035469,9584,4431,9492,0.2228168658446415,L2/3,L5,248.24513729779275
181,864691136009055404,864691136274035469,23916,5428,9492,0.09958823136138678,L2/3,L5,274.4497588703622
182,864691135856845358,864691136274035469,3244,8718,9492,0.18086547059618763,L2/3,L5,302.3208617082189
