,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
40,864691135857146158,864691135582733933,24032,1361,3567,0.12826711069541408,L4,L2/3
43,864691135473146162,864691135582733933,5832,4438,3567,0.04803802621390213,L4,L2/3
44,864691136419698583,864691135582733933,324,1487,3567,-0.14577058147528915,L4,L2/3
45,864691135594514987,864691135582733933,3076,7506,3567,0.2073009599317838,L4,L2/3
46,864691135726562367,864691135582733933,4016,7497,3567,0.1217977640904152,L4,L2/3
51,864691135783492659,864691135183034370,8812,2529,11510,0.07922881068094237,L4,L2/3
55,864691136228125521,864691135183034370,23048,8582,11510,0.12024170141950768,L4,L2/3
189,864691136228183377,864691135509789449,6692,9201,4544,0.039913218553497276,L4,L2/3
191,864691136228125521,864691135509789449,9000,8582,4544,0.039882191332437804,L4,L2/3
192,864691135777736032,864691135509789449,15652,10141,4544,-0.03500212903832547,L4,L2/3
194,864691134965653279,864691135509789449,1824,5445,4544,0.08508491147476949,L4,L2/3
203,864691136228183377,864691135762864182,3040,9201,222,0.33502900226101456,L4,L2/3
208,864691134965653279,864691135762864182,19192,5445,222,0.1138246733095663,L4,L2/3
213,864691135754777037,864691135762864182,21780,6423,222,-0.06495039970638601,L4,L2/3
214,864691135942378612,864691135762864182,13740,621,222,0.28053779115345295,L4,L2/3
223,864691136228183377,864691135156839780,6912,9201,2392,0.18567602885666995,L4,L2/3
225,864691135737916036,864691135156839780,11332,2405,2392,0.09193346213614927,L4,L2/3
227,864691135763000374,864691135156839780,2340,10135,2392,-0.07225770296815213,L4,L2/3
228,864691136195396684,864691135156839780,10680,10322,2392,0.13135217930064075,L4,L2/3
229,864691136052035059,864691135156839780,560,771,2392,-0.0024930057851682524,L4,L2/3
262,864691136228183377,864691135582552173,20676,9201,5683,0.09595624519793407,L4,L2/3
266,864691135156708964,864691135582552173,3336,9741,5683,0.2188001792863755,L4,L2/3
267,864691134965653279,864691135582552173,19800,5445,5683,-0.13452087865729664,L4,L2/3
268,864691136228183377,864691135749306921,16388,9201,8009,0.09712927056611678,L4,L2/3
271,864691135615222475,864691135749306921,16292,4589,8009,0.10252184249029249,L4,L2/3
273,864691136912172017,864691135749306921,27196,4763,8009,0.15461552599760195,L4,L2/3
282,864691136228183377,864691135584908664,6588,9201,4595,-0.03310838044220097,L4,L2/3
285,864691135857146158,864691135584908664,14356,1361,4595,0.21010951889823723,L4,L2/3
287,864691135753932237,864691135584908664,10792,4563,4595,0.07556261886526187,L4,L2/3
290,864691135838392723,864691135584908664,12504,4422,4595,0.1885742610426262,L4,L2/3
291,864691134941194083,864691135584908664,5944,6788,4595,0.127755492745231,L4,L2/3
292,864691136085404268,864691135584908664,192,4430,4595,-0.04239273735491609,L4,L2/3
439,864691135700566050,864691135368092665,5724,10242,5132,0.1823457952571736,L4,L2/3
449,864691135778216893,864691136051379699,3376,7591,4386,-0.2669313594952675,L4,L2/3
451,864691135591350283,864691136051379699,2140,9200,4386,-0.26683456790262855,L4,L2/3
452,864691135755978194,864691136051379699,316,9721,4386,0.21342960501168448,L4,L2/3
453,864691135479337158,864691136051379699,4852,9887,4386,0.06624166598882898,L4,L2/3
455,864691135473146162,864691135491755495,12992,4438,11107,-0.022988361082726613,L4,L2/3
456,864691135783492659,864691135491755495,51872,2529,11107,0.23703892061631335,L4,L2/3
457,864691135777064877,864691135491755495,10356,5427,11107,0.1312836266712638,L4,L2/3
458,864691136362747874,864691135491755495,38964,1352,11107,0.07399135121862156,L4,L2/3
460,864691135916172390,864691135491755495,42940,9729,11107,0.19972408148188744,L4,L2/3
465,864691135777064877,864691135772313595,480,5427,5150,-0.03243814715614832,L4,L2/3
472,864691136362747874,864691135213709624,3404,1352,12064,0.20179571895087653,L4,L2/3
475,864691135916172390,864691135213709624,11112,9729,12064,0.0533846662990294,L4,L2/3
481,864691136052035059,864691135213709624,3064,771,12064,-0.09806172060324049,L4,L2/3
532,864691136578707732,864691136210291644,732,2538,8686,0.20235634543041828,L4,L2/3
618,864691135885042032,864691136040443134,2068,2549,234,0.13054437493408103,L4,L2/3
619,864691134965653279,864691136040443134,1292,5445,234,0.2659969635566503,L4,L2/3
620,864691135517063379,864691136040443134,2880,3409,234,-0.13539825133543965,L4,L2/3
621,864691136974714396,864691136040443134,2252,4437,234,-0.03180721974461904,L4,L2/3
623,864691135279377569,864691136040443134,18316,7562,234,0.07152950660547534,L4,L2/3
624,864691136085404268,864691136040443134,9532,4430,234,0.21011863069343809,L4,L2/3
628,864691135947719777,864691135275257573,2364,10142,6420,-0.08460230189954515,L4,L2/3
724,864691137198217793,864691135684885175,1716,10144,7303,0.5034244940730128,L4,L2/3
726,864691136362684386,864691135684885175,8980,10565,7303,0.23336818238984783,L4,L2/3
774,864691135783492659,864691135491107943,16004,2529,11226,0.08382897573767253,L4,L2/3
776,864691135510079753,864691135491107943,4396,4419,11226,0.07876487422771718,L4,L2/3
789,864691135942378612,864691135889703817,716,621,6144,0.019333998955012345,L4,L2/3
794,864691135763000374,864691136379808725,39812,10135,10792,-0.16109983871142766,L4,L2/3
828,864691136522731153,864691135856291374,196,3536,228,0.021599528140529654,L4,L2/3
852,864691136419698583,864691135938155573,1968,1487,4094,-0.09581618389138156,L4,L2/3
867,864691136194822888,864691136009055404,856,4553,5428,-0.11996152337923394,L4,L2/3
876,864691136119541016,864691136009055404,1484,1460,5428,-0.029471855110040635,L4,L2/3
878,864691136362747874,864691136009055404,2200,1352,5428,0.03280778214169133,L4,L2/3
879,864691135383993579,864691136009055404,7932,10283,5428,0.09912837037372105,L4,L2/3
881,864691135857302830,864691136009055404,9244,1360,5428,0.2571576820703459,L4,L2/3
886,864691136663288030,864691136009055404,4836,9892,5428,0.18209787442061787,L4,L2/3
890,864691135304440487,864691135473208882,3156,1457,10947,-0.05199465755071547,L4,L2/3
894,864691136378815445,864691135473208882,2420,1389,10947,-0.04798081707063077,L4,L2/3
895,864691135726649663,864691135473208882,4092,6848,10947,-0.051068278491446434,L4,L2/3
897,864691135969949285,864691135473208882,19472,5677,10947,-0.008512304299183357,L4,L2/3
903,864691136362747874,864691135941873524,3820,1352,4021,0.045092376484299056,L4,L2/3
918,864691135479337158,864691135645645039,10248,9887,24,0.11591665032405354,L4,L2/3
926,864691136912172017,864691135726232895,2332,4763,4105,0.1466271167036368,L4,L2/3
929,864691134918495498,864691135489036090,2796,5882,5506,0.0963028026038485,L4,L2/3
937,864691136378815445,864691136813061747,4260,1389,4018,-0.1971807540520854,L4,L2/3
943,864691135304440487,864691135915998822,2896,1457,11469,0.04894472980619148,L4,L2/3
956,864691135852005063,864691135859678312,2692,9731,5446,0.10236988083769254,L4,L2/3
