,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
0,864691135927049742,864691136310417242,1732,1732,9470,0.169118646043849,L5ET,L5ET
1,864691136228183377,864691136310417242,7604,9201,9470,0.010837108835143184,L4c,L5ET
2,864691135155894884,864691136310417242,9404,2145,9470,0.040025868073652895,L2a,L5ET
3,864691135591041291,864691136310417242,25900,2091,9470,0.1452643661732223,L2a,L5ET
4,864691136194822888,864691136310417242,9972,4553,9470,0.1911147577034884,L4a,L5ET
5,864691135582733933,864691136310417242,1364,3567,9470,-0.02013095966701392,L3c,L5ET
6,864691135584074360,864691136310417242,2156,6027,9470,-0.17783860048058142,L5NP,L5ET
7,864691134918495498,864691136310417242,29316,5882,9470,0.04079758190702977,L4c,L5ET
8,864691135591291659,864691136310417242,3976,2557,9470,0.03002828984970939,L3c,L5ET
9,864691135726100543,864691136310417242,3728,4787,9470,0.3804988537758485,L5a,L5ET
10,864691135755884754,864691136310417242,9084,5503,9470,0.38166966668420893,L3b,L5ET
11,864691135759091534,864691136310417242,32020,329,9470,0.3861317577335156,L3c,L5ET
12,864691135082846711,864691136310417242,14384,4420,9470,0.13219140044802435,L3c,L5ET
13,864691135105143629,864691136310417242,660,6080,9470,0.10159323950064512,L5ET,L5ET
14,864691135122934055,864691136310417242,6484,8574,9470,0.025491985996288997,L3b,L5ET
15,864691135234167385,864691136310417242,5356,3210,9470,0.04306325791252617,L2a,L5ET
16,864691135275253989,864691136310417242,13236,3189,9470,-0.043313486671967605,L2a,L5ET
17,864691135304440487,864691136310417242,42176,1457,9470,-0.06559614651986648,L4a,L5ET
18,864691135338381030,864691136310417242,5100,7267,9470,-0.024858756027514334,L3b,L5ET
19,864691135385894741,864691136310417242,21388,7928,9470,0.11173143371312638,L3b,L5ET
20,864691135387710593,864691136310417242,596,2389,9470,-0.12490561449072295,L3c,L5ET
21,864691135404231406,864691136310417242,2500,3048,9470,0.015528866612724282,L2a,L5ET
22,864691135838305171,864691136310417242,1884,11261,9470,-0.1471658971765139,L3b,L5ET
23,864691135852005063,864691136310417242,6916,9731,9470,0.08022844979153926,L4b,L5ET
24,864691135857146158,864691136310417242,10476,1361,9470,-0.014932356716593315,L4a,L5ET
25,864691135867716374,864691136310417242,756,5151,9470,0.11528232261801705,L2a,L5ET
26,864691135874675854,864691136310417242,43304,1475,9470,0.2112249046137247,L4a,L5ET
27,864691135889695113,864691136310417242,13164,11126,9470,0.20267301146085073,L3b,L5ET
28,864691135916149862,864691136310417242,8460,235,9470,0.06631063275005601,L3c,L5ET
29,864691135511115984,864691136310417242,14896,11917,9470,0.3370793540010411,L3c,L5ET
30,864691136228145489,864691136310417242,35736,11827,9470,0.15618144046217927,L3a,L5ET
31,864691136310740570,864691136310417242,20148,8689,9470,-0.21131404537097548,L3c,L5ET
32,864691136388893815,864691136310417242,9540,11479,9470,0.17056978162879205,L3a,L5ET
33,864691136101005173,864691136310417242,11968,3121,9470,0.259580492770842,L2a,L5ET
34,864691136923990500,864691136310417242,4800,372,9470,-0.1790155277585339,L3c,L5ET
35,864691137198217793,864691136310417242,19600,10144,9470,0.06184614798851393,L4b,L5ET
