,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
2,864691135155894884,864691136310417242,9404,2145,9470,0.040025868073652895,L2a,L5ET,367.34825939427014
3,864691135591041291,864691136310417242,25900,2091,9470,0.1452643661732223,L2a,L5ET,365.4723054897594
4,864691136194822888,864691136310417242,9972,4553,9470,0.1911147577034884,L4a,L5ET,248.85435200534462
7,864691134918495498,864691136310417242,29316,5882,9470,0.04079758190702977,L4c,L5ET,118.8844104161685
10,864691135755884754,864691136310417242,9084,5503,9470,0.38166966668420893,L3b,L5ET,263.6118324506698
11,864691135759091534,864691136310417242,32020,329,9470,0.3861317577335156,L3c,L5ET,578.0193239676335
12,864691135082846711,864691136310417242,14384,4420,9470,0.13219140044802435,L3c,L5ET,237.8056248283458
16,864691135275253989,864691136310417242,13236,3189,9470,-0.043313486671967605,L2a,L5ET,363.6562358271888
17,864691135304440487,864691136310417242,42176,1457,9470,-0.06559614651986648,L4a,L5ET,206.2632725426414
19,864691135385894741,864691136310417242,21388,7928,9470,0.11173143371312638,L3b,L5ET,327.25167357249677
24,864691135857146158,864691136310417242,10476,1361,9470,-0.014932356716593315,L4a,L5ET,214.99683614416278
26,864691135874675854,864691136310417242,43304,1475,9470,0.2112249046137247,L4a,L5ET,206.23182993902756
27,864691135889695113,864691136310417242,13164,11126,9470,0.20267301146085073,L3b,L5ET,340.0229452022319
28,864691135916149862,864691136310417242,8460,235,9470,0.06631063275005601,L3c,L5ET,276.1465490351093
29,864691135511115984,864691136310417242,14896,11917,9470,0.3370793540010411,L3c,L5ET,319.8537202659991
30,864691136228145489,864691136310417242,35736,11827,9470,0.15618144046217927,L3a,L5ET,321.06553638782225
31,864691136310740570,864691136310417242,20148,8689,9470,-0.21131404537097548,L3c,L5ET,289.429617171429
32,864691136388893815,864691136310417242,9540,11479,9470,0.17056978162879205,L3a,L5ET,330.36416270533937
33,864691136101005173,864691136310417242,11968,3121,9470,0.259580492770842,L2a,L5ET,379.21627247785653
35,864691137198217793,864691136310417242,19600,10144,9470,0.06184614798851393,L4b,L5ET,188.41757879773317
36,864691135927049742,864691136135715467,13580,1732,5026,-0.12647958892646824,L5ET,L6a,126.16461018843603
39,864691135927049742,864691135582733933,29004,1732,3567,0.20321088598437778,L5ET,L3c,182.00093960197015
40,864691135857146158,864691135582733933,24032,1361,3567,0.12826711069541408,L4a,L3c,64.46547181243605
42,864691135697002138,864691135582733933,14880,7238,3567,0.193329904026878,L3c,L3c,81.4941529190899
47,864691135919485872,864691135582733933,12636,10805,3567,0.23509943839521427,L2a,L3c,132.0005119990071
50,864691135749181225,864691135183034370,29832,3132,11510,0.05092723439228281,L2b,L2b,103.79142777705681
51,864691135783492659,864691135183034370,8812,2529,11510,0.07922881068094237,L4a,L2b,167.36049636637668
55,864691136228125521,864691135183034370,23048,8582,11510,0.12024170141950768,L4a,L2b,149.19566342223212
59,864691135701561723,864691135786340548,13776,9730,1653,0.23684702775244548,L4a,L5ET,176.29517955973728
60,864691135927049742,864691135926527246,17364,1732,1682,0.2645660146291983,L5ET,L5ET,87.20663204137625
61,864691136923990500,864691135926527246,41956,372,1682,0.16129261179442417,L3c,L5ET,252.4719613422449
63,864691135468597132,864691135926527246,14600,4055,1682,0.17357770481924983,L2a,L5ET,331.0378765519136
64,864691136228183377,864691135361232967,8120,9201,613,0.0562133619765069,L4c,L4a,38.93128798280377
65,864691135700566050,864691135361232967,25928,10242,613,0.19707152092889565,L4a,L4a,125.17885060983747
67,864691136362747874,864691135361232967,13792,1352,613,0.331976649182203,L4a,L4a,69.91534309434529
69,864691135610661895,864691135361232967,9648,6787,613,0.286163469505626,L4c,L4a,109.4822213877669
74,864691136419698583,864691135014167446,8096,1487,10481,0.04973975830984871,L4b,L4b,67.49938832315443
89,864691136228183377,864691135926878676,8296,9201,5798,-0.01599417076278294,L4c,L5a,78.47155754794221
96,864691136228183377,864691135477010344,26624,9201,892,0.023600560555722648,L4c,L5ET,150.5356972946948
99,864691135275253989,864691135477010344,61244,3189,892,0.03797019284634492,L2a,L5ET,356.58531586143584
100,864691135385894741,864691135477010344,28044,7928,892,0.11603703998178057,L3b,L5ET,319.09642600317534
102,864691136101005173,864691135477010344,23456,3121,892,0.047277261724215355,L2a,L5ET,376.62457334592483
103,864691135135756569,864691135477010344,22700,2406,892,0.0009275908567622108,L3c,L5ET,225.18769941539873
104,864691135334986985,864691135477010344,21052,2084,892,-0.10246281995277179,L3a,L5ET,355.5946492285844
107,864691135889087881,864691135477010344,71116,6422,892,0.023853953733541503,L3c,L5ET,267.4760006879122
109,864691136009055404,864691135477010344,8900,5428,892,0.12517504612230582,L3c,L5ET,250.4342673038176
110,864691135572327205,864691135477010344,23852,4228,892,0.016503346114524205,L2a,L5ET,397.3047525112177
